statefips,countyfips,countyns10,fips,name,namelsad10,boundingbox,corner_sw,corner_nw,corner_ne,corner_se,corner_wtf,extentn,extents,extente,extentw,pop_10
36,103,974149,36103,Suffolk,Suffolk County,"POLYGON((-73.497405 40.534265,-73.497405 41.310387,-71.777491 41.310387,-71.777491 40.534265,-73.497405 40.534265))","40.534265,-73.497405","41.310387,-73.497405","41.310387,-71.777491","40.534265,-71.777491","40.534265,-73.497405",41.310387,40.534264,-71.777489,-73.497406,1493350
6,67,277298,6067,Sacramento,Sacramento County,"POLYGON((-121.862622 38.018421,-121.862622 38.736405,-121.027084 38.736405,-121.027084 38.018421,-121.862622 38.018421))","38.018421,-121.862622","38.736405,-121.862622","38.736405,-121.027084","38.018421,-121.027084","38.018421,-121.862622",38.736404,38.018421,-121.02708,-121.86263,1418788
36,5,974101,36005,Bronx,Bronx County,"POLYGON((-73.933808 40.785743,-73.933808 40.917577,-73.74806 40.917577,-73.74806 40.785743,-73.933808 40.785743))","40.785743,-73.933808","40.917577,-73.933808","40.917577,-73.74806","40.785743,-73.74806","40.785743,-73.933808",40.917576,40.785744,-73.748062,-73.933807,1385108
36,59,974128,36059,Nassau,Nassau County,"POLYGON((-73.780193 40.520505,-73.780193 40.989009,-73.423253 40.989009,-73.423253 40.520505,-73.780193 40.520505))","40.520505,-73.780193","40.989009,-73.780193","40.989009,-73.423253","40.520505,-73.423253","40.520505,-73.780193",40.98901,40.520504,-73.423256,-73.78019,1339532
12,99,295761,12099,Palm Beach,Palm Beach County,"POLYGON((-80.886232 26.320755,-80.886232 26.970943,-79.974306 26.970943,-79.974306 26.320755,-80.886232 26.320755))","26.320755,-80.886232","26.970943,-80.886232","26.970943,-79.974306","26.320755,-79.974306","26.320755,-80.886232",26.970943,26.320755,-79.974304,-80.88623,1320134
39,35,1074030,39035,Cuyahoga,Cuyahoga County,"POLYGON((-81.971262 41.275044,-81.971262 42.096402,-81.374772 42.096402,-81.374772 41.275044,-81.971262 41.275044))","41.275044,-81.971262","42.096402,-81.971262","42.096402,-81.374772","41.275044,-81.374772","41.275044,-81.971262",42.096401,41.275043,-81.374771,-81.97126,1280122
12,57,295757,12057,Hillsborough,Hillsborough County,"POLYGON((-82.823669 27.57055,-82.823669 28.173379,-82.054012 28.173379,-82.054012 27.57055,-82.823669 27.57055))","27.57055,-82.823669","28.173379,-82.823669","28.173379,-82.054012","27.57055,-82.054012","27.57055,-82.823669",28.17338,27.570551,-82.054008,-82.823669,1229226
42,3,1213657,42003,Allegheny,Allegheny County,"POLYGON((-80.360873 40.194343,-80.360873 40.674935,-79.688761 40.674935,-79.688761 40.194343,-80.360873 40.194343))","40.194343,-80.360873","40.674935,-80.360873","40.674935,-79.688761","40.194343,-79.688761","40.194343,-80.360873",40.674934,40.194344,-79.688759,-80.36087,1223348
26,125,1623005,26125,Oakland,Oakland County,"POLYGON((-83.689438 42.431179,-83.689438 42.888647,-83.083393 42.888647,-83.083393 42.431179,-83.689438 42.431179))","42.431179,-83.689438","42.888647,-83.689438","42.888647,-83.083393","42.431179,-83.083393","42.431179,-83.689438",42.888645,42.431179,-83.083389,-83.689438,1202362
39,49,1074037,39049,Franklin,Franklin County,"POLYGON((-83.260877 39.794996,-83.260877 40.143087,-82.761827 40.143087,-82.761827 39.794996,-83.260877 39.794996))","39.794996,-83.260877","40.143087,-83.260877","40.143087,-82.761827","39.794996,-82.761827","39.794996,-83.260877",40.143085,39.794994,-82.761826,-83.26088,1163414
27,53,659472,27053,Hennepin,Hennepin County,"POLYGON((-93.767799 44.785303,-93.767799 45.246618,-93.177201 45.246618,-93.177201 44.785303,-93.767799 44.785303))","44.785303,-93.767799","45.246618,-93.767799","45.246618,-93.177201","44.785303,-93.177201","44.785303,-93.767799",45.246616,44.785301,-93.1772,-93.767799,1152425
12,95,295750,12095,Orange,Orange County,"POLYGON((-81.658599 28.346828,-81.658599 28.786089,-80.862908 28.786089,-80.862908 28.346828,-81.658599 28.346828))","28.346828,-81.658599","28.786089,-81.658599","28.786089,-80.862908","28.346828,-80.862908","28.346828,-81.658599",28.786089,28.346828,-80.862907,-81.6586,1145956
51,59,1480119,51059,Fairfax,Fairfax County,"POLYGON((-77.536718 38.605617,-77.536718 39.057678,-77.041362 39.057678,-77.041362 38.605617,-77.536718 38.605617))","38.605617,-77.536718","39.057678,-77.536718","39.057678,-77.041362","38.605617,-77.041362","38.605617,-77.536718",39.057678,38.605618,-77.041359,-77.53672,1081726
6,13,1675903,6013,Contra Costa,Contra Costa County,"POLYGON((-122.441584 37.718629,-122.441584 38.099878,-121.534102 38.099878,-121.534102 37.718629,-122.441584 37.718629))","37.718629,-122.441584","38.099878,-122.441584","38.099878,-121.534102","37.718629,-121.534102","37.718629,-122.441584",38.099876,37.718628,-121.5341,-122.44158,1049025
49,35,1448031,49035,Salt Lake,Salt Lake County,"POLYGON((-112.26351 40.41412,-112.26351 40.92205,-111.553084 40.92205,-111.553084 40.41412,-112.26351 40.41412))","40.41412,-112.26351","40.92205,-112.26351","40.92205,-111.553084","40.41412,-111.553084","40.41412,-112.26351",40.92205,40.41412,-111.55309,-112.26351,1029655
48,453,1384012,48453,Travis,Travis County,"POLYGON((-98.172977 30.024499,-98.172977 30.628249,-97.369539 30.628249,-97.369539 30.024499,-98.172977 30.024499))","30.024499,-98.172977","30.628249,-98.172977","30.628249,-97.369539","30.024499,-97.369539","30.024499,-98.172977",30.628248,30.0245,-97.369537,-98.172974,1024266
29,189,758549,29189,St. Louis,St. Louis County,"POLYGON((-90.73653 38.388298,-90.73653 38.891184,-90.117707 38.891184,-90.117707 38.388298,-90.73653 38.388298))","38.388298,-90.73653","38.891184,-90.73653","38.891184,-90.117707","38.388298,-90.117707","38.388298,-90.73653",38.891186,38.388298,-90.117706,-90.736526,998954
4,19,25446,4019,Pima,Pima County,"POLYGON((-113.334105 31.426075,-113.334105 32.514188,-110.447322 32.514188,-110.447322 31.426075,-113.334105 31.426075))","31.426075,-113.334105","32.514188,-113.334105","32.514188,-110.447322","31.426075,-110.447322","31.426075,-113.334105",32.514187,31.426075,-110.44732,-113.33411,980263
24,31,1712500,24031,Montgomery,Montgomery County,"POLYGON((-77.527685 38.934343,-77.527685 39.353502,-76.888505 39.353502,-76.888505 38.934343,-77.527685 38.934343))","38.934343,-77.527685","39.353502,-77.527685","39.353502,-76.888505","38.934343,-76.888505","38.934343,-77.527685",39.3535,38.934341,-76.888504,-77.527687,971777
15,3,365281,15003,Honolulu,Honolulu County,"POLYGON((-178.443593 21.199238,-178.443593 28.517269,-157.597288 28.517269,-157.597288 21.199238,-178.443593 21.199238))","21.199238,-178.443593","28.517269,-178.443593","28.517269,-157.597288","21.199238,-157.597288","21.199238,-178.443593",28.517269,21.199238,-157.59729,-178.44359,953207
36,119,974157,36119,Westchester,Westchester County,"POLYGON((-73.983284 40.871721,-73.983284 41.366375,-73.482695 41.366375,-73.482695 40.871721,-73.983284 40.871721))","40.871721,-73.983284","41.366375,-73.983284","41.366375,-73.482695","40.871721,-73.482695","40.871721,-73.983284",41.366375,40.871719,-73.482697,-73.983284,949113
55,79,1581100,55079,Milwaukee,Milwaukee County,"POLYGON((-88.069947 42.842117,-88.069947 43.192581,-87.069419 43.192581,-87.069419 42.842117,-88.069947 42.842117))","42.842117,-88.069947","43.192581,-88.069947","43.192581,-87.069419","42.842117,-87.069419","42.842117,-88.069947",43.192581,42.842117,-87.06942,-88.069946,947735
6,19,277274,6019,Fresno,Fresno County,"POLYGON((-120.918731 35.906914,-120.918731 37.585837,-118.360586 37.585837,-118.360586 35.906914,-120.918731 35.906914))","35.906914,-120.918731","37.585837,-120.918731","37.585837,-118.360586","35.906914,-118.360586","35.906914,-120.918731",37.585838,35.906914,-118.36059,-120.91873,930450
47,157,1639790,47157,Shelby,Shelby County,"POLYGON((-90.310298 34.994188,-90.310298 35.409483,-89.632776 35.409483,-89.632776 34.994188,-90.310298 34.994188))","34.994188,-90.310298","35.409483,-90.310298","35.409483,-89.632776","34.994188,-89.632776","34.994188,-90.310298",35.409485,34.994186,-89.632774,-90.310295,927644
13,121,1694833,13121,Fulton,Fulton County,"POLYGON((-84.850713 33.502412,-84.850713 34.186289,-84.097692 34.186289,-84.097692 33.502412,-84.850713 33.502412))","33.502412,-84.850713","34.186289,-84.850713","34.186289,-84.097692","33.502412,-84.097692","33.502412,-84.850713",34.186291,33.502411,-84.097694,-84.850716,920581
37,119,1008570,37119,Mecklenburg,Mecklenburg County,"POLYGON((-81.058029 35.00171,-81.058029 35.515103,-80.550297 35.515103,-80.550297 35.00171,-81.058029 35.00171))","35.00171,-81.058029","35.515103,-81.058029","35.515103,-80.550297","35.00171,-80.550297","35.00171,-81.058029",35.515102,35.001709,-80.550301,-81.058029,919628
36,29,974113,36029,Erie,Erie County,"POLYGON((-79.312136 42.437997,-79.312136 43.098705,-78.462045 43.098705,-78.462045 42.437997,-79.312136 42.437997))","42.437997,-79.312136","43.098705,-79.312136","43.098705,-78.462045","42.437997,-78.462045","42.437997,-79.312136",43.098705,42.437996,-78.462044,-79.312134,919040
